title,views,date_time,video_link,thumbnail_link
Interview Experience @ Amazon | GeeksforGeeks,38 watching,,/watch?v=SMgm_gpJyNU,https://i.ytimg.com/vi/SMgm_gpJyNU/hqdefault.jpg
Live Mock DSA,2.2K views,Streamed 1 day ago,/watch?v=mwqKJz7K03k,https://i.ytimg.com/vi/mwqKJz7K03k/hqdefault.jpg
Interview Experience at Google | Tech Dose,5.2K views,Streamed 4 days ago,/watch?v=V23iPYIQCvc,https://i.ytimg.com/vi/V23iPYIQCvc/hqdefault.jpg
Life Is Unfair Ft. Shonty badmash | LIVE Discord Session | A GeeksforGeeks Exclusive,1.5K views,9 days ago,/watch?v=49MRLvZaG3s,https://i.ytimg.com/vi/49MRLvZaG3s/hqdefault.jpg
Journey from JIIT to Adobe,1K views,9 days ago,/watch?v=9CswKbEqj5A,https://i.ytimg.com/vi/9CswKbEqj5A/hqdefault.jpg
GATE Live Classes | Prepare for GATE CS 2023 | GeeksforGeeks,1.2K views,11 days ago,/watch?v=61KrUQsuu8M,https://i.ytimg.com/vi/61KrUQsuu8M/hqdefault.jpg
DSA Self-Paced Course Preview | Sandeep Jain | GeeksforGeeks,7.8K views,12 days ago,/watch?v=Pt2vYaJgGy8,https://i.ytimg.com/vi/Pt2vYaJgGy8/hqdefault.jpg
Youtube Data Analysis | Ashish Jangra | GeeksforGeeks,1.2K views,Streamed 12 days ago,/watch?v=v2-JpIh__5U,https://i.ytimg.com/vi/v2-JpIh__5U/hqdefault.jpg
Live Mock DSA,1.8K views,Streamed 2 weeks ago,/watch?v=-k17bdFjlEc,https://i.ytimg.com/vi/-k17bdFjlEc/hqdefault.jpg
From Tier 3 to cracking multiple interviews | GeeksforGeeks,1K views,2 weeks ago,/watch?v=QNWW9Njph8g,https://i.ytimg.com/vi/QNWW9Njph8g/hqdefault.jpg
GeeksforGeeks: Redesigned,1.4K views,2 weeks ago,/watch?v=YrpAcmahCb8,https://i.ytimg.com/vi/YrpAcmahCb8/hqdefault.jpg
Get Hired with GeeksforGeeks at SuperK | Job A Thon 8,758 views,Streamed 2 weeks ago,/watch?v=L8XkwAx1T98,https://i.ytimg.com/vi/L8XkwAx1T98/hqdefault.jpg
Journey from Tier 3 college to Microsoft | GeeksforGeeks,2.1K views,3 weeks ago,/watch?v=LQh8EyXXkuU,https://i.ytimg.com/vi/LQh8EyXXkuU/hqdefault.jpg
Get Hired at NEC | Job-A-Thon 8,615 views,Streamed 3 weeks ago,/watch?v=gU1Vt2ea7g0,https://i.ytimg.com/vi/gU1Vt2ea7g0/hqdefault.jpg
How I got hired via GFG Job Portal,845 views,Streamed 3 weeks ago,/watch?v=ijSJMr0lPko,https://i.ytimg.com/vi/ijSJMr0lPko/hqdefault.jpg
Understanding Sorting Techniques in an hour | Keerti Purswani | Geeks Summer Carnival,2.9K views,Streamed 3 weeks ago,/watch?v=FbfeCOgNucE,https://i.ytimg.com/vi/FbfeCOgNucE/hqdefault.jpg
How I got hired via GFG Job Portal | Get Hired With GeeksforGeeks,1.2K views,Streamed 3 weeks ago,/watch?v=W2VtjDyJKkU,https://i.ytimg.com/vi/W2VtjDyJKkU/hqdefault.jpg
Must Do System Design Questions,1.3K views,Streamed 3 weeks ago,/watch?v=dP3ER37ZgyY,https://i.ytimg.com/vi/dP3ER37ZgyY/hqdefault.jpg
Dispelling Myths and Pre conceptions of Programming Languages,958 views,Streamed 3 weeks ago,/watch?v=dfbozMNQJfE,https://i.ytimg.com/vi/dfbozMNQJfE/hqdefault.jpg
Geeks Summer Carnival 2022 | GeeksforGeeks,3.4K views,4 weeks ago,/watch?v=JddfBLjDgwY,https://i.ytimg.com/vi/JddfBLjDgwY/hqdefault.jpg
Journey from Tier 3 to JusPay | GeeksforGeeks,784 views,4 weeks ago,/watch?v=1Ku1DvEYghE,https://i.ytimg.com/vi/1Ku1DvEYghE/hqdefault.jpg
How to get ideas for Startup | Geeks Summer Carnival 2022 | GeeksforGeeks,1.2K views,Streamed 1 month ago,/watch?v=cBTic_pQfXc,https://i.ytimg.com/vi/cBTic_pQfXc/hqdefault.jpg
"Geeks Summer Carnival | 5th To 11th April, 2022 | GeeksforGeeks",4.2K views,1 month ago,/watch?v=-Cb5CpuDqZg,https://i.ytimg.com/vi/-Cb5CpuDqZg/hqdefault.jpg
How to build a faster landing Page | Geeks Summer Carnival 2022 | GeeksforGeeks,3.1K views,Streamed 1 month ago,/watch?v=k8HMaNEhwZQ,https://i.ytimg.com/vi/k8HMaNEhwZQ/hqdefault.jpg
Getting Hired at BITCS via GfG Job Portal | Get Hired With GeeksforGeeks,1.1K views,Streamed 1 month ago,/watch?v=ivYabXt4FF0,https://i.ytimg.com/vi/ivYabXt4FF0/hqdefault.jpg
Web Scraping in Action | Geeks Summer Carnival 2022 | GeeksforGeeks,1.5K views,Streamed 1 month ago,/watch?v=f-Z35mTkzWI,https://i.ytimg.com/vi/f-Z35mTkzWI/hqdefault.jpg
Introduction to Open Source and Roadmap to GSOC 2022 | Geeks Summer Carnival 2022 | GeeksforGeeks,1.3K views,Streamed 1 month ago,/watch?v=0wpHK9KgYfE,https://i.ytimg.com/vi/0wpHK9KgYfE/hqdefault.jpg
Don't Miss Out On Your Tickets! | GeeksforGeeks,982 views,1 month ago,/shorts/2CHBU1j4Rhw,https://i.ytimg.com/vi/2CHBU1j4Rhw/hq2.jpg
Get Your Ticket To The Carnival | GeeksforGeeks,551 views,1 month ago,/shorts/DKOQq5kj1D8,https://i.ytimg.com/vi/DKOQq5kj1D8/hq2.jpg
Full Stack Development with React & Node | Utkarsh Malik | Geeks Summer Carnival | GeeksforGeeks,2.1K views,Streamed 1 month ago,/watch?v=eq1HvXpTa-E,https://i.ytimg.com/vi/eq1HvXpTa-E/hqdefault.jpg
Preparing for SDE interviews | Soham Mukherjee | Geeks Summer Carnival 2022 | GeeksforGeeks,1.1K views,Streamed 1 month ago,/watch?v=wCxm4amugsM,https://i.ytimg.com/vi/wCxm4amugsM/hqdefault.jpg
Geeks Summer Carnival 2022 | 5th April- 11th April | GeeksforGeeks,24K views,1 month ago,/watch?v=rgoYNlBXHGE,https://i.ytimg.com/vi/rgoYNlBXHGE/hqdefault.jpg
Highest Paying Jobs in 2022 | Ishan Sharma | Geeks Summer Carnival 2022 | GeeksforGeeks,4.8K views,Streamed 1 month ago,/watch?v=8TZykANLz9E,https://i.ytimg.com/vi/8TZykANLz9E/hqdefault.jpg
Lets Prepare for GATE'23 the Right Way | Sakshi Singhal | GeekSummerCarnival,811 views,Streamed 1 month ago,/watch?v=gKdXZg9RLeo,https://i.ytimg.com/vi/gKdXZg9RLeo/hqdefault.jpg
Interview experience at Flipkart | GeeksforGeeks,799 views,1 month ago,/watch?v=bIZIzgPox4U,https://i.ytimg.com/vi/bIZIzgPox4U/hqdefault.jpg
Learn Data Structures and Algorithms | GeeksforGeeks,31K views,1 month ago,/watch?v=EDPTs9Cr6zU,https://i.ytimg.com/vi/EDPTs9Cr6zU/hqdefault.jpg
