quote,author,author_id,tags,author_link
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Albert Einstein,/author/Albert-Einstein,"change,deep-thoughts,thinking,world",https://quotes.toscrape.com/author/Albert-Einstein
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,/author/J-K-Rowling,"abilities,choices",https://quotes.toscrape.com/author/J-K-Rowling
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,/author/Albert-Einstein,"inspirational,life,live,miracle,miracles",https://quotes.toscrape.com/author/Albert-Einstein
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,/author/Jane-Austen,"aliteracy,books,classic,humor",https://quotes.toscrape.com/author/Jane-Austen
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,/author/Marilyn-Monroe,"be-yourself,inspirational",https://quotes.toscrape.com/author/Marilyn-Monroe
Try not to become a man of success. Rather become a man of value.,Albert Einstein,/author/Albert-Einstein,"adulthood,success,value",https://quotes.toscrape.com/author/Albert-Einstein
It is better to be hated for what you are than to be loved for what you are not.,André Gide,/author/Andre-Gide,"life,love",https://quotes.toscrape.com/author/Andre-Gide
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,/author/Thomas-A-Edison,"edison,failure,inspirational,paraphrased",https://quotes.toscrape.com/author/Thomas-A-Edison
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,/author/Eleanor-Roosevelt,misattributed-eleanor-roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt
"A day without sunshine is like, you know, night.",Steve Martin,/author/Steve-Martin,"humor,obvious,simile",https://quotes.toscrape.com/author/Steve-Martin
"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",Marilyn Monroe,/author/Marilyn-Monroe,"friends,heartbreak,inspirational,life,love,sisters",https://quotes.toscrape.com/author/Marilyn-Monroe
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",J.K. Rowling,/author/J-K-Rowling,"courage,friends",https://quotes.toscrape.com/author/J-K-Rowling
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,/author/Albert-Einstein,"simplicity,understand",https://quotes.toscrape.com/author/Albert-Einstein
"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",Bob Marley,/author/Bob-Marley,love,https://quotes.toscrape.com/author/Bob-Marley
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,/author/Dr-Seuss,fantasy,https://quotes.toscrape.com/author/Dr-Seuss
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",Douglas Adams,/author/Douglas-Adams,"life,navigation",https://quotes.toscrape.com/author/Douglas-Adams
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,/author/Elie-Wiesel,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy",https://quotes.toscrape.com/author/Elie-Wiesel
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,/author/Friedrich-Nietzsche,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage",https://quotes.toscrape.com/author/Friedrich-Nietzsche
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,/author/Mark-Twain,"books,contentment,friends,friendship,life",https://quotes.toscrape.com/author/Mark-Twain
