category,price_e_tax,price_i_tax,tax,quantity,upc,reviews
Poetry,51.77,51.77,0.00,In stock (22 available),a897fe39b1053632,0
Historical Fiction,53.74,53.74,0.00,In stock (20 available),90fa61229261140a,0
Fiction,50.10,50.10,0.00,In stock (20 available),6957f44c3847a760,0
Mystery,47.82,47.82,0.00,In stock (20 available),e00eb4fd7b871a48,0
History,54.23,54.23,0.00,In stock (20 available),4165285e1663650f,0
Young Adult,22.65,22.65,0.00,In stock (19 available),f77dbf2323deb740,0
Business,33.34,33.34,0.00,In stock (19 available),2597b5a345f45e1b,0
Default,17.93,17.93,0.00,In stock (19 available),e72a5dfc7e9267b2,0
Default,22.60,22.60,0.00,In stock (19 available),e10e1e165dc8be4a,0
Poetry,52.15,52.15,0.00,In stock (19 available),1dfe412b8ac00530,0
Default,13.99,13.99,0.00,In stock (19 available),0312262ecafa5a40,0
Poetry,20.66,20.66,0.00,In stock (19 available),30a7f60cd76ca58c,0
Young Adult,17.46,17.46,0.00,In stock (19 available),ce6396b0f23f6ecc,0
Sequential Art,52.29,52.29,0.00,In stock (19 available),3b1c02bac2a429e6,0
Music,35.02,35.02,0.00,In stock (19 available),a34ba96d4081e6a4,0
Music,57.25,57.25,0.00,In stock (19 available),deda3e61b9514b83,0
Poetry,23.88,23.88,0.00,In stock (19 available),feb7cc7701ecf901,0
Science Fiction,37.59,37.59,0.00,In stock (19 available),e30f54cea9b38190,0
Politics,51.33,51.33,0.00,In stock (19 available),a18a4f574854aced,0
Travel,45.17,45.17,0.00,In stock (19 available),a22124811bfa8350,0
Thriller,12.84,12.84,0.00,In stock (19 available),23356462d1320d61,0
Music,37.32,37.32,0.00,In stock (19 available),327f68a59745c102,0
Food and Drink,30.52,30.52,0.00,In stock (19 available),5674a18a29a43ced,0
Romance,25.27,25.27,0.00,In stock (19 available),c2e46a2ee3b4a322,0
Romance,34.53,34.53,0.00,In stock (19 available),00bfed9e18bb36f3,0
Childrens,54.64,54.64,0.00,In stock (19 available),9528d0948525bf5f,0
Default,22.50,22.50,0.00,In stock (19 available),c7d160c2c0de586f,0
Default,53.13,53.13,0.00,In stock (19 available),904208d6aa64b655,0
Nonfiction,40.30,40.30,0.00,In stock (18 available),4c28def39d850cdf,0
Art,44.18,44.18,0.00,In stock (18 available),ccd9ffa25efabdea,0
Spirituality,17.66,17.66,0.00,In stock (18 available),6258a1f6a6dcfe50,0
Nonfiction,31.05,31.05,0.00,In stock (18 available),3c039985229453bf,0
Thriller,23.82,23.82,0.00,In stock (18 available),5dada2b7be26bd03,0
Childrens,36.89,36.89,0.00,In stock (18 available),9f6568e9c95f60b0,0
Philosophy,15.94,15.94,0.00,In stock (18 available),6be3beb0793a53e7,0
Default,33.29,33.29,0.00,In stock (18 available),668fe56b17cfcd4f,0
Default,18.02,18.02,0.00,In stock (18 available),094b269567e1c300,0
Mystery,19.63,19.63,0.00,In stock (18 available),19ed25f4641d5efd,0
Thriller,52.22,52.22,0.00,In stock (18 available),be5cc846f45496fb,0
Poetry,33.63,33.63,0.00,In stock (17 available),55f9da0c5eea2e10,0
Poetry,57.31,57.31,0.00,In stock (17 available),b4fd5943413e089a,0
Nonfiction,26.41,26.41,0.00,In stock (17 available),c8f7f0cb1abb9cac,0
Fiction,47.61,47.61,0.00,In stock (17 available),b12b89017878a60d,0
Nonfiction,23.11,23.11,0.00,In stock (17 available),c27f6e1f185b0383,0
New Adult,45.07,45.07,0.00,In stock (16 available),acddfeab2a407640,0
Contemporary,31.77,31.77,0.00,In stock (16 available),3ecb690d1542c568,0
Fiction,50.27,50.27,0.00,In stock (16 available),8d455c7539795d2a,0
Poetry,14.27,14.27,0.00,In stock (16 available),657fe5ead67a7767,0
Nonfiction,44.18,44.18,0.00,In stock (16 available),d170b5a0da46380e,0
Fantasy,18.78,18.78,0.00,In stock (16 available),7ae099f3898e0209,0
History,25.52,25.52,0.00,In stock (16 available),9a9d6e9bc555731e,0
Sequential Art,16.28,16.28,0.00,In stock (16 available),09555be379ad9253,0
Nonfiction,31.12,31.12,0.00,In stock (16 available),7858914fad68493c,0
Sequential Art,19.49,19.49,0.00,In stock (16 available),51653ef291ab7ddc,0
Fiction,17.27,17.27,0.00,In stock (16 available),709822d0b5bcb7f4,0
Add a comment,19.09,19.09,0.00,In stock (16 available),4eed62cf5f8d8edf,0
Childrens,56.13,56.13,0.00,In stock (16 available),b5ea0b5dabed25a8,0
Food and Drink,56.41,56.41,0.00,In stock (16 available),142d767a56a9254d,0
Mystery,56.50,56.50,0.00,In stock (16 available),5ee94540d0749ea0,0
Young Adult,45.22,45.22,0.00,In stock (16 available),cedf82b5086e4691,0
Sequential Art,38.16,38.16,0.00,In stock (16 available),7d385d34d12e60ff,0
Fiction,54.11,54.11,0.00,In stock (16 available),d01ac97e2b8947c2,0
Science,42.96,42.96,0.00,In stock (16 available),aadee1c326d286e3,0
Add a comment,23.89,23.89,0.00,In stock (16 available),31075275518532d7,0
Nonfiction,16.77,16.77,0.00,In stock (16 available),0da9aa9d24677fc0,0
Default,20.59,20.59,0.00,In stock (16 available),8c9e6bf2467d740d,0
Nonfiction,37.13,37.13,0.00,In stock (16 available),acd86a5426e21ca0,0
Nonfiction,56.06,56.06,0.00,In stock (16 available),a30b270e25489e5c,0
Philosophy,58.11,58.11,0.00,In stock (16 available),bd261725b99f5983,0
Health,49.05,49.05,0.00,In stock (16 available),43c6a960757cf559,0
Add a comment,40.76,40.76,0.00,In stock (16 available),80cfab6bcff3a244,0
History,19.73,19.73,0.00,In stock (16 available),a3d2a4250807f1e9,0
Spirituality,32.24,32.24,0.00,In stock (16 available),7d6d2a6c0276f81b,0
Nonfiction,41.83,41.83,0.00,In stock (16 available),87b0615b6e1f4d7b,0
Default,39.58,39.58,0.00,In stock (16 available),e6af5bf1163c1151,0
Horror,39.25,39.25,0.00,In stock (16 available),6f78a0d744c35456,0
Fantasy,25.02,25.02,0.00,In stock (16 available),c849f0b2f5d6a742,0
Sequential Art,51.04,51.04,0.00,In stock (16 available),53a3d11bb568cc8b,0
Nonfiction,19.83,19.83,0.00,In stock (16 available),d7310206583a54b6,0
Sequential Art,50.40,50.40,0.00,In stock (16 available),c82a3e358c773c73,0
